,sentence,university,moral_label
45,"furthermore, this trend towards a growing demand of digital, data and tech competences is also favored by the increasing degree of automation, which is expected to displace routine jobs and create new jobs, particularly in the area of stem.",BOCCONI UNIVERSITY STRATEGY,0
46,"highly skilled workers are more likely to benefit as their skills complement technology, they can perform non-routine tasks, and tend to have better access to training opportunities than the lower skilled.",BOCCONI UNIVERSITY STRATEGY,0
47,"conversely, those with low levels of skills are more likely to be employed in jobs that are vulnerable to automation and also face increasing competition from middle-skilled workers whose jobs have been most affected by the digital transformation.",BOCCONI UNIVERSITY STRATEGY,0
48,"according to the oecd, the intensity of skills shortages and surpluses has worsened in the last decade, calling into question the adaptability of individuals and economies in responding to changing skills needs.",BOCCONI UNIVERSITY STRATEGY,0
49,"the results of this survey, reported in figure 8 below, are consistent with the above mentioned skills mismatch.",BOCCONI UNIVERSITY STRATEGY,0
50,"it is important to highlight that digital, data science and information technology competences are sought not only for it-related profiles, but more generally for managerial positions within corporates, consulting firms and the financial services industry.",BOCCONI UNIVERSITY STRATEGY,0
51,"based on the above, one can conclude that a new workforce is emerging in the job market, featuring a new set of knowledge and competences.",BOCCONI UNIVERSITY STRATEGY,0
52,"data analysts and scientists, ai and machine-learning specialists, digital transformation and new technologies specialists are likely to arise amongst the new roles in the job market.",BOCCONI UNIVERSITY STRATEGY,0
53,"once again, the need for this new workforce will even be increased by the crisis experienced by most companies during the 2020 pandemic.",BOCCONI UNIVERSITY STRATEGY,0
54,"on the opposite front, routine-based, middleskilled white-collar jobs are expected to become redundant and to be automated.",BOCCONI UNIVERSITY STRATEGY,0
55,"this scheme is mirrored in the set of skills sought: some are deeply connected with the technological change in the market (advanced it, programming, digital and data analytics skills), some are more related to “human” complex abilities and aptitudes (critical thinking, communication and negotiation, entrepreneurship and innovation, resilience and flexibility).",BOCCONI UNIVERSITY STRATEGY,0
56,"second, given the rapidly changing job profiles and the high degree of uncertainty concerning future job requirements, future graduates will need to be equipped with a stronger ability for adaptability, resilience and a commitment to continuous learning.",BOCCONI UNIVERSITY STRATEGY,0
57,"transversal cognitive skills, such as critical thinking, complex problem solving, creative thinking, “learning to learn” are also considered key not only to respond to future challenges, but also to help graduates shape a better future for all.",BOCCONI UNIVERSITY STRATEGY,1
58,"an additional important skill that is often overlooked in continental european universities is represented by debating skills, often reflected in anglosaxon universities in the presence of so called “debating societies”.",BOCCONI UNIVERSITY STRATEGY,0
59,all these skills are increasingly mentioned by hr managers as key skills required by graduates entering the job market in the future and are indicated by the oecd as the subject of a growing skills gap.,BOCCONI UNIVERSITY STRATEGY,0
60,"fourth, a growing need of interdisciplinary studies to address increased complexity of the business world is generally perceived by hr managers as a key feature of the education of future managers and business leaders.",BOCCONI UNIVERSITY STRATEGY,0
61,this trend is likely to be strengthened by the recent pandemic crisis.,BOCCONI UNIVERSITY STRATEGY,0
62,"indeed, it has become increasingly clear that the collaboration among different disciplines and areas of expertise (e.g.",BOCCONI UNIVERSITY STRATEGY,0
63,"finally, social and emotional skills, including empathy, self-awareness, respect for others, and the ability to communicate are likely going to increase in relevance in light of the fact that workplaces are becoming more ethnically, culturally and linguistically diverse.",BOCCONI UNIVERSITY STRATEGY,1
64,"these skills are considered to be key to fostering more inclusive, fair, tolerant and sustainable economies and societies.",BOCCONI UNIVERSITY STRATEGY,1
65,"for executives, teamwork and team leadership skills, the ability to inspire and lead teams through change, and emotional intelligence are always in high demand according to the oecd “skills for jobs” survey.",BOCCONI UNIVERSITY STRATEGY,0
66,"2 an example of response to this need of interdisciplinary studies is represented by the “covid crisis lab” recently introduced by bocconi, where epidemiologists, economists, sociologists, computer scientists and experts of artificial intelligence cooperate to address the problems raised by the covid 19 crisis.",BOCCONI UNIVERSITY STRATEGY,0
67,the above mentioned job market trends have clear implications for higher education institutions.,BOCCONI UNIVERSITY STRATEGY,0
68,"first, it is important to strengthen the computer science, data science and more generally digital content of the programs offered to students of the different degrees.",BOCCONI UNIVERSITY STRATEGY,0
69,"second, universities should find ways to improve the set of soft skills that are so much demanded by corporates and institutions, especially as far as managerial and leadership positions are concerned.",BOCCONI UNIVERSITY STRATEGY,0
70,"this could be done by embedding soft skills in curricula that are focused primarily on technical aspects, and by fostering transversal competencies that are essential to leverage technical skills, including effective communication, teamwork/collaboration, and leadership.",BOCCONI UNIVERSITY STRATEGY,0
71,"more specifically, the major trends affecting demand and supply are first examined.",BOCCONI UNIVERSITY STRATEGY,0
72,"in this analysis, a number of relevant questions are also addressed.",BOCCONI UNIVERSITY STRATEGY,0
73,(v) what major trends are likely to affect demand and supply in the future?,BOCCONI UNIVERSITY STRATEGY,0
74,an analysis of the consequences and implications of the major trends affecting the higher education industry is then presented.,BOCCONI UNIVERSITY STRATEGY,0
75,"| the main trends affecting the demand for higher education during the last two decades the higher education industry has become increasingly global, with students becoming more and more internationally mobile and universities expanding globally through foreign branches, joint ventures, partnerships and off-shore campuses.",BOCCONI UNIVERSITY STRATEGY,0
76,missing data werw imputed with the closest data reports to ensure the breaks in data coverage do not results in time series.,BOCCONI UNIVERSITY STRATEGY,0
77,"indeed, universities do not “walk alone” in the competitive arena, as they are strictly linked to the country in which they have their headquarters.",BOCCONI UNIVERSITY STRATEGY,0
78,"this is not only due to the legal and regulatory framework, but also to the global reputation and future growth perspectives.",BOCCONI UNIVERSITY STRATEGY,0
79,canada and china appear as the rising stars and are consolidating their positions.,BOCCONI UNIVERSITY STRATEGY,0
80,"as for the share of international students, the most internationally open system is new zealand, followed by the uk, switzerland and australia.",BOCCONI UNIVERSITY STRATEGY,0
81,"italy is still lagging behind, attracting the majority of international students from non-oecd countries, while the majority of outgoing students moves towards oecd countries.",BOCCONI UNIVERSITY STRATEGY,0
82,"the subjects most affected by international mobility of students are the ones belonging to the stem area, business administration and law.",BOCCONI UNIVERSITY STRATEGY,0
83,"italy, ranked 11th, is not even in the top ten european countries in terms of international students’ attractiveness.",BOCCONI UNIVERSITY STRATEGY,0
84,"the universities based in these countries can thus count on a “systemic advantage”, while the universities based in countries not practicing such illuminated policies have to compensate with other factors.",BOCCONI UNIVERSITY STRATEGY,0
85,additional factors affecting the international competitiveness of universities and their attractiveness for international students include the support to higher education through government sponsored scholarships and the ability to attract high quality faculty and researchers.,BOCCONI UNIVERSITY STRATEGY,0
86,"while it is reasonable to assume that the international mobility of university students is likely to slow down in 2020 given the constraints to international travel posed by the covid 19 pandemic crisis, it is also reasonable to assume that this process of globalization of higher education will continue once the current emergency phase is over.",BOCCONI UNIVERSITY STRATEGY,0
87,"on the demand side, a number of other important trends have been emerging in the last few years and are likely to continue in the future.",BOCCONI UNIVERSITY STRATEGY,0
88,"this in turn is leading universities towards the reduction of standardized compulsory parts within degree programs, in favor of shorter and more flexible courses.",BOCCONI UNIVERSITY STRATEGY,0
89,"following this trend, it is likely that an increasing variety and flexibility of programs, to meet evolving students and employers’ needs, will be seen in the future.",BOCCONI UNIVERSITY STRATEGY,0
90,this trend is also a reflection of the increasing demand by major employers for graduates with this kind of interdisciplinary competences.,BOCCONI UNIVERSITY STRATEGY,0
91,"a fourth important trend is the one related to the increasing demand for life-long learning, whereby the process of learning does not end with graduation, but rather continues over the entire working life of an individual.",BOCCONI UNIVERSITY STRATEGY,0
92,"this trend is related to a number of underlying factors: (i) the fast pace of technological change and the need for people to continuously adapt and improve skills and competences, (ii) the fact that, differently from the past, individuals often change work and employer, (iii) the importance that most employers place on the need for constant upskilling and reskilling of human resources.",BOCCONI UNIVERSITY STRATEGY,0
93,"as often mentioned, learning how to learn has become the most important skill for an individual during his/her career.",BOCCONI UNIVERSITY STRATEGY,0
94,"lifelong learning is therefore seen as an “insurance” to cope with skills obsolescence, a driver to catch fast-changing career opportunities and to take advantage of new opportunities in the evolution of professional, social and cultural contexts.",BOCCONI UNIVERSITY STRATEGY,0
95,"universities all over the world, and especially business schools, are engaged in dealing with this growing demand.",BOCCONI UNIVERSITY STRATEGY,0
96,"as an example, in singapore, universities support their graduates to undertake additional studies at preferential rates: graduates can return to attend a master course or a short upskilling module.",BOCCONI UNIVERSITY STRATEGY,0
97,"similar examples exist in other higher education institutions, where new engagement and retention strategies are aimed at achieving seamless student journeys, whereby individuals become lifelong students of the university (e.g.",BOCCONI UNIVERSITY STRATEGY,0
98,"finally, it is worth mentioning the growing demand for two subjects that are becoming increasingly important for the higher education industry as a consequence of their increasing relevance to the business world: entrepreneurship and sustainability.",BOCCONI UNIVERSITY STRATEGY,0
99,"indeed, the demand for higher education in these two subjects has increased during the last ten years and is likely to significantly grow in the next decade.",BOCCONI UNIVERSITY STRATEGY,0
100,"universities are called to stimulate the entrepreneurial spirit of their students and, at the same time, to favor their sensitivity, awareness and competence on the subject of sustainability.",BOCCONI UNIVERSITY STRATEGY,1
101,in the area of sustainability europe has been leading the way and should continue to do so.,BOCCONI UNIVERSITY STRATEGY,1
102,"| main trends affecting the supply of higher education on the supply side, during the last twenty years universities have themselves been very active internationally, setting up international branch campuses, joint ventures and strategic partnerships.",BOCCONI UNIVERSITY STRATEGY,0
103,"in some cases, the foreign model developed abroad is also developed at the domestic level through a multi-campus offer (e.g.",BOCCONI UNIVERSITY STRATEGY,0
104,"a critical factor in these different strategies is the one related to faculty, i.e.",BOCCONI UNIVERSITY STRATEGY,0
105,"whether the faculty active within the international branch, joint venture or off-shore campus is part of the core faculty of the parent company, or whether a new faculty is hired ad hoc.",BOCCONI UNIVERSITY STRATEGY,0
106,the involvement of the faculty from the parent university is often complex and risks losing motivation and commitment over time.,BOCCONI UNIVERSITY STRATEGY,0
107,"on the other side, establishing a new faculty is potentially counterproductive due to the high synergies, both in terms of teaching and research activities, of one single location and to the critical mass needed to be effective in both teaching and research activities.",BOCCONI UNIVERSITY STRATEGY,0
108,"it is important to highlight that these alternative strategies may have different underlying objectives: (i) exploiting the brand in a foreign market, thereby attracting new students/customers, (ii) enhancing the domestic market students’ experience through an international branch or joint venture, (iii) strengthening of recruiting and executive education in a foreign market.",BOCCONI UNIVERSITY STRATEGY,0
109,a final trend that has become increasingly significant and is likely to increase in the future is the increasing importance of international partnerships and alliances among universities.,BOCCONI UNIVERSITY STRATEGY,0
110,"these partnerships do not simply allow universities to offer higher value programs, but are also used as marketing tools, signaling membership in prestigious international networks and alliances.",BOCCONI UNIVERSITY STRATEGY,0
111,"on top of the internationalization efforts brought forward by a large number of higher education institutions in the last two decades, a number of other important trends are affecting supply and are likely to be further strengthened in the next decade.",BOCCONI UNIVERSITY STRATEGY,0
112,the first one is related to the transformation made possible by technological innovation.,BOCCONI UNIVERSITY STRATEGY,0
113,"first, the possibility of offering online courses has allowed the emergence of new players such as edx, coursera and udacity.",BOCCONI UNIVERSITY STRATEGY,0
114,these are platforms where online courses from the best faculty and the most prestigious universities are made freely available to all students.,BOCCONI UNIVERSITY STRATEGY,1
115,"during the last decade, the growth of these massive open online courses (moocs) has been exponential (see figure 12).",BOCCONI UNIVERSITY STRATEGY,0
116,"this phenomenon has clear implications for traditional players, as the free availability of high quality content online requires universities to enhance the teaching and learning experience offered through classroom activities.",BOCCONI UNIVERSITY STRATEGY,0
117,"table 4 | universities internationalization strategies type of strategy rationale target multi-local offer a multi-campus or dual campus experience to home students current students/customers and home country prospective ones foreign branch attract students and customers from a different market host country prospective students/ customers joint-venture establish long-term cooperation with a local partner host country students/ customers global strongly affirm global exposure of the brand prospective customers and students with global/regional focus 4140 vision 2030 & strategic plan 2025second, technological innovation has led a number of players to launch programs - and not simply individual courses - online.",BOCCONI UNIVERSITY STRATEGY,0
118,"mba) entirely offered online, and where physical face to face modules are offered entirely jointly with online modules.",BOCCONI UNIVERSITY STRATEGY,0
119,"a similar growth has been experienced by modularization and micro-certifications, i.e.",BOCCONI UNIVERSITY STRATEGY,0
120,"finally, technology has enabled adaptive and personalized learning solutions, whereby individuals and corporates have more flexibility in designing programs tailored for their specific needs.",BOCCONI UNIVERSITY STRATEGY,0
121,the area of post graduate education is the one that has already been and will be mostly affected by technological innovation.,BOCCONI UNIVERSITY STRATEGY,0
122,"indeed, this is potentially the largest and the most permeable segment of the market, where the opportunities offered by online education and distance learning are more significant.",BOCCONI UNIVERSITY STRATEGY,0
123,"(v) university of north carolina’s kenan flagler school of business offers 10 online open executive courses, up from just one in 2017. a second important trend affecting supply is related to expansion of the range of educational offers realized during the last few years by a number of universities.",BOCCONI UNIVERSITY STRATEGY,0
124,"as an example, a number of us business schools, traditionally active only on the executive and mba market, have entered the master of science (msc) segment.",BOCCONI UNIVERSITY STRATEGY,0
125,"a similar expansion has been recently pursued by a number of leading european business schools traditionally active only on the executive and mba markets, such as london business school, iese (barcelona) and insead (paris).",BOCCONI UNIVERSITY STRATEGY,0
126,"this is also explained by the recognized stage of advanced maturity of the mba model, whereas the msc model is becoming more and more important and attractive for employers.",BOCCONI UNIVERSITY STRATEGY,0
127,"also, schools are converging to cover all the sectors of higher education, from pre- to post-experience and only few players are staying out either of the bachelor or of the executive market.",BOCCONI UNIVERSITY STRATEGY,0
128,it is reasonable to assume that this type of expansion will further increase in the near future given the significant problems that the covid 19 pandemic has posed to the executive education segment of the market.,BOCCONI UNIVERSITY STRATEGY,0
129,"in recent years, computer and data science departments have significantly grown within universities.",BOCCONI UNIVERSITY STRATEGY,0
130,computer and data science faculty has been hired in the departments of social science institutions and in general in business schools.,BOCCONI UNIVERSITY STRATEGY,0
131,"more importantly, the number of double degrees blending business and economics with computer science has been developed as a new format and tracks in computer science within mba programs or in general minors and majors in computer science have increased in prominence.",BOCCONI UNIVERSITY STRATEGY,0
132,"lastly, in terms of research it is important to notice the increasing competition from the five digital giants (faang) and other emerging players of the digital economy which are running top-notch research within their own corporate academies and are increasing the bargaining power of professors.",BOCCONI UNIVERSITY STRATEGY,0
133,a fourth major trend that has affected the supply of higher education and is likely to affect the industry in the next decade is represented by the continuous decrease in public funding.,BOCCONI UNIVERSITY STRATEGY,0
134,"in a context of rising costs and declining public support, universities have been struggling for cash through aggressive fundraising campaigns targeted to alumni, corporates and foundations.",BOCCONI UNIVERSITY STRATEGY,0
135,the decrease in the amount of public funds received by universities is likely to continue in the future in light of the increase in public deficit that most countries will experience as a consequence of the extraordinary measures adopted during the 2020 pandemic.,BOCCONI UNIVERSITY STRATEGY,0
136,this will likely make the competition to attract private funding through ambitious fundraising campaigns even stronger in the years to come.,BOCCONI UNIVERSITY STRATEGY,0
137,a fifth important trend is the one related to the increasing divide between “global” and local or regional universities.,BOCCONI UNIVERSITY STRATEGY,0
138,"as a result of the increasing competition to attract the best students and faculty, it is indeed possible to identify two different types of higher education institutions: global versus national/regional.",BOCCONI UNIVERSITY STRATEGY,0
139,"the first one is represented by institutions with global ambitions, competing at the world level for the best talent.",BOCCONI UNIVERSITY STRATEGY,0
140,"these are the universities that appear in the top positions of all the international rankings, that compete on the international market for faculty, that attract the best students from all over the world, with the majority if not all of their degree programs taught in english and a large part of their graduates employed abroad.",BOCCONI UNIVERSITY STRATEGY,0
141,"the second ones are the regional and national institutions, with a faculty and student body that are largely domestic, that do not actively participate in the international market for researchers, with the majority of their teaching denominated in the national language and the large majority of their graduates employed in the domestic market.",BOCCONI UNIVERSITY STRATEGY,0
142,"the divide between these two groups is likely to increase in the next decade, as the scale of the investments required to belong to the first group is getting more and more significant.",BOCCONI UNIVERSITY STRATEGY,0
143,"also, it is reasonable to assume that this divide will be accelerated by the covid 19 pandemic crisis, as traditional conferences and seminars will lose weight in favor of webinars and digital means to communicate research results.",BOCCONI UNIVERSITY STRATEGY,0
144,"this has clear implications in terms of: (i) the relevance of critical mass of research groups, (ii) the attractiveness of large and high quality research groups for young researchers.",BOCCONI UNIVERSITY STRATEGY,0
145,"it is important to highlight that the competition among these “global institutions” to attract the best talent, both in terms of students and faculty, has been getting tougher and tougher over the years.",BOCCONI UNIVERSITY STRATEGY,0
146,"also, the competitive landscape has itself become more global, with an increasing participation of universities and business schools from the asian continent.",BOCCONI UNIVERSITY STRATEGY,0
147,one can see that during the last 10 years schools from north america and europe have been gradually losing position to asian schools.,BOCCONI UNIVERSITY STRATEGY,0
148,"it is reasonable to assume that this trend may be threatened, at least in the near future, by the 2020 covid 19 crisis, as a consequence of two factors: (i) the constraints to international travel and mobility, and (ii) the negative impact on universities’ endowments provoked by the general downturn in financial markets.",BOCCONI UNIVERSITY STRATEGY,0
149,the latter has a clear impact on the financial budget of major universities and on their capacity to sustain a continuous increase of faculty compensation packages.,BOCCONI UNIVERSITY STRATEGY,0
150,"finally, on the research activity conducted by universities it is worth mentioning two main trends: (i) the increasing importance of international collaborations, and (ii) the increasing importance of faculty ability to attract research funding.",BOCCONI UNIVERSITY STRATEGY,0
151,"indeed, international collaborations have contributed to a significant increase in the impact of research and to the improvement of research output.",BOCCONI UNIVERSITY STRATEGY,0
152,"on the second point, it is important to highlight that research funding opportunities in italy are especially limited, thereby making eu research funding opportunities especially relevant in our country.",BOCCONI UNIVERSITY STRATEGY,0
153,"similarly, the fact that new generations are used to easily finding content and knowledge freely on the web has clear implications for the value added expected by students from class activities and, more generally, university campus life.",BOCCONI UNIVERSITY STRATEGY,0
154,"second it is likely that in the future students from around the world will take courses as they need them, often online, stitching together the equivalent of customized degrees and presenting employers with transcripts of the classes they’ve taken from different providers.",BOCCONI UNIVERSITY STRATEGY,0
155,"this means that universities will need to keep offering immersive degree-based experiences, but at the same time experiment, especially for post graduate education, with more just-in-time, convenient, relatively inexpensive programs that could create lifelong customers who return every time they need to acquire new skills.",BOCCONI UNIVERSITY STRATEGY,0
156,"third given the above mentioned technological trend, the competitive advantage of universities with respect to other players will also be grounded on the capacity to produce cutting edge knowledge through relevant and rigorous research and to the ability to integrate theory and practice.",BOCCONI UNIVERSITY STRATEGY,0
157,"this is consistent with “academic” missions, as research universities become effective when they work on the most pressing societal issues and disseminate research results that shape both academic thinking and business practice.",BOCCONI UNIVERSITY STRATEGY,1
158,"as an example, if we focus our attention on business schools, we can see that the leading players in europe and the us have been reacting in different ways to the competitive dynamics described above in order to face the commoditization of knowledge: (i) by penetrating the pre-experience msc market with flexible and branded programs (e.g.",BOCCONI UNIVERSITY STRATEGY,0
159,finally an important issue with significant implications for higher education institutions is the one related to the exponential growth of social networks.,BOCCONI UNIVERSITY STRATEGY,0
160,"this phenomenon has also clear implications not only for the way higher education institutions design students’ learning processes and the development of their skills, but also from the point of view of research for universities focused on the social sciences.",BOCCONI UNIVERSITY STRATEGY,0
161,"indeed, rigorous research should support the design of public policies aimed at limiting the social and psychological problems generated by young people’s dependence on social networks (based on algorithms designed to extract attention, influence behavior and generate addiction) and the related potential implications for relevant democratic processes such as elections and referenda.",BOCCONI UNIVERSITY STRATEGY,1
162,"| the relevance of the european dimension as duly examined in the previous paragraph, a major trend affecting higher education is represented by the growing polarization between global and national (or regional or local universities).",BOCCONI UNIVERSITY STRATEGY,0
163,global institutions have global ambitions and compete at the world level for the best talent.,BOCCONI UNIVERSITY STRATEGY,0
164,"these are the universities and business schools that appear in the top positions of all the international rankings, that compete on the international market for faculty, that attract the best students from all over the world, with the majority if not all of their degree programs taught in english and a large part of their graduates employed abroad.",BOCCONI UNIVERSITY STRATEGY,0
165,bocconi shall aim to be a global institution and its strategic evolution in the last 20 years clearly shows the progress made to reach this ambitious goal.,BOCCONI UNIVERSITY STRATEGY,0
166,"it has to be recalled, however, that in the case of an italian higher education institution like bocconi, between the national and the global dimension one must also consider the european dimension, as a link and a catalyst between the other two.",BOCCONI UNIVERSITY STRATEGY,0
167,"in fact, if the global dimension is a geographical one, but without a correspondent institutional framework, and the national dimension has on the contrary both attributes, institutional and geographical, though the latter with limited “critical mass”, the eu level matches the two in a sort of “augmented configuration”.",BOCCONI UNIVERSITY STRATEGY,0
168,"it is in fact a geographical entity, and it has its own institutional framework for higher education.",BOCCONI UNIVERSITY STRATEGY,0
