sentence,true_label,predicted_label
"the program also provides financial support exceeding 2.5 million yen per student annually to enable each and index (gcsi: an index of each country’s environmental impact, both domestically and internationally), which clearly showed that consumption in developed countries is placing a particularly heavy burden on the planet.",0,1
"we will invest in developing the talents of all our researchers, educators and professional service staff, with funding for training and individual learning accounts to empower staff with agency in their own development, including opening up staff access to lse’s academic programmes.",1,0
"this approach is not only focused on meeting the expectations of our students, parents, alumni, and guests, but through providing everyone with the best information about resources, opportunities, and events.",0,1
"as our third strategic priority, we commit to supporting the development of all our staff, strengthening and enhancing the supporting services and infrastructure across the school to enable the whole lse community to thrive and perform at their best, and ensuring we continue to attract the highest quality researchers, educators and professional services staff from around the world.",0,1
"as part of the university, it is also a place to train the quantum professionals of tomorrow, today.",1,0
"“ student success, defined both within the montclair state university experience and following graduation, is our unifying intention.” montclair state university strategic plan 2025 4 an entrepreneurial strategy underlying the pillars, strategies and success measures is a single aspiration: to be ceaselessly innovative and demonstrably effective in every process that will improve academic quality, promote student success and augment institutional communication and efficiency.",0,1
"this intentional integration will equip us to better solve the challenges that face nebraska and the world, while preparing students for a continually evolving and global workforce.",0,1
"we engage them to enhance student support, recruitment, employment opportunities and leadership in business, science, the arts and society, and to elevate the position and reputation of saint mary’s university in the broader community.",0,1
5.5.3 increase support for and awareness of dei mini-grants to include a variety of community members in our dei work.,1,0
"4 world without limits: the strategic plan for saint mary’s university 2024-2029 i hope you will read this document as a distillation of the many ideas of our community, and i hope also that you will see your own path within this strategic plan for the future of saint mary’s university.",0,1
"implementing a sustainable and agile infrastructure: building upon our history of “making it happen” and our institutional agility, we will provide financial, technological, and physical resources that prepare us for the challenges of the future.",0,1
"in light of the growth in academic programs, facilities, research and enrollments under the previous plan, the university will focus its resources to support student success in a future characterized by mobility and change.",0,1
"value is created through activities centered on the multifaceted 3 perspectives of utokyo compass — strengthening knowledge, nurturing people, and creating place (see next page).",0,1
"now, more than ever, the social sciences and humanities are essential to collaborating and innovating in a world facing massive change and increasing competition for resources.",1,0
"in keeping with our commitment for ongoing engagement, here’s a mid-year update of the progress we have collectively made.",1,0
"increased percent of freshmen and seniors who describe the rigor of their courses at msu as “very high” or “high” on the national survey of student engagement (nsse) instrument 1.1.4. improved university standing, and the standing of its academic programs, as determined in select national rankings, from baselines in ay2019-20 1.1.5. increased number of online programs leading to a degree or certificate from the baseline of ay2019-20 1.1.6. increased delivery of programs in fully online mode by 100% over the baseline of programs in 2019-20montclair state university strategic plan 2025 7 pillar one: fostering student transformation objective 1.2 increase engaged student participation in an expanded range and variety of campus experiences and support activities a) promote maximum access to internship opportunities and cooperative educational experiences for all students b) enhance superior academic performance through expansion of honors options and societies within majors, and support for applications to premier post-secondary opportunities such as fulbright, gates-cambridge, gilman, marshall, mitchell, rhodes, schwarzman and truman scholarships c) increase communication and participation in activities and programs focused on increasing the well-being of students to support the development of the whole student d) achieve national stature as a top ncaa division iii institution e) promote and support student engagement with professional societies, social clubs and interest groups that evolve as the student body evolves strategies msuccess measures 1.2.1. increased levels of engagement across a range of campus experiences as measured by student-reported activity and satisfaction on national surveys (i.e.",0,1
"sincerely, cathy tuckwell chair, board of governors lakehead university strategic theme: expanding student opportunity and success title expanding student opportunity and success overview over the next five years there is a significant opportunity for social and economic growth in the regions where lakehead operates.",0,1
a foundation of this cultural evolution is a process by which the university identifies its core strengths and future directions and devotes the resources necessary over the long term to achieve impact on a global scale.,0,1
they attract and nurture talent and creativity and are central players in regional and national innovation systems.,1,0
"students will learn to manage interpersonal relationships, resolve conflicts and assume responsibility for their own actions.",0,1
